State,District,JAN_normal,FEB_normal,MAR_normal,APR_normal,MAY_normal,JUN_normal,JUL_normal,AUG_normal,SEP_normal,OCT_normal,NOV_normal,DEC_normal,JAN_current,FEB_current,MAR_current,APR_current,MAY_current,JUN_current,JUL_current,AUG_current,SEP_current,OCT_current,NOV_current,DEC_current,Flood_Risk
ANDAMAN And NICOBAR ISLANDS,NICOBAR,107.3,57.9,65.2,117.0,358.5,295.5,285.0,271.9,354.8,326.0,315.2,250.9,98.69954019248682,49.65698772036237,71.25655839696975,118.2916857850532,410.0520150053562,375.80863987408884,315.5985319535786,238.5100542431879,458.0845912851711,400.35633466973934,225.35238429236696,213.4479746138069,Medium
ANDAMAN And NICOBAR ISLANDS,SOUTH ANDAMAN,43.7,26.0,18.6,90.5,374.4,457.2,421.3,423.1,455.6,301.2,275.8,128.3,32.34357591330358,31.479283066451195,20.68498221473214,69.70411954614329,347.23223022760226,520.5986538608222,542.3515659157835,508.3933341860577,582.384340628332,220.07832120015257,351.9047299212671,133.60770857093655,Medium
ANDAMAN And NICOBAR ISLANDS,N & M ANDAMAN,32.7,15.9,8.6,53.4,343.6,503.3,465.4,460.9,454.8,276.1,198.6,100.0,41.68360801487182,16.766234532086592,7.032673515830371,53.27322288953777,346.744075823132,403.470719229778,434.1069759656347,456.5991456262696,590.3746219736574,237.94504480669696,217.0568882349484,84.98591320220757,Low
ARUNACHAL PRADESH,LOHIT,42.2,80.8,176.4,358.5,306.4,447.0,660.1,427.8,313.6,167.1,34.1,29.8,50.34947353382216,59.82209799348696,224.93044871440972,427.6655437440809,227.17271690354676,497.91452434055225,819.8342035484161,455.4958365780264,337.09964709423593,198.8840512715234,40.10270414787065,31.302429690342603,Medium
ARUNACHAL PRADESH,EAST SIANG,33.3,79.5,105.9,216.5,323.0,738.3,990.9,711.2,568.0,206.9,29.5,31.7,39.66067335501617,79.31727134157474,75.54701109708942,190.87089530795933,342.4108987119977,856.4470351823576,897.9486539766326,639.3413886808958,480.4739533938453,268.0310980871744,34.53584469703021,36.82404068398804,Low
ARUNACHAL PRADESH,SUBANSIRI F.D,28.0,48.3,85.3,101.5,140.5,228.4,217.4,182.8,159.8,75.9,20.9,11.6,30.839481417323263,45.02646090932826,83.05034485834221,113.45734067988083,153.6576949859516,278.5857512878117,251.22488516666155,186.80037816015783,171.11088204289163,83.7169934731853,25.292413742166758,10.528337989422614,Medium
ARUNACHAL PRADESH,TIRAP,42.2,72.7,141.0,316.9,328.7,614.7,851.9,500.6,418.3,218.7,42.9,22.9,46.244138855689144,60.73400181697343,107.25664326544484,282.7097997442342,345.49771073867214,444.3126907811074,719.2767126060422,611.062430296735,305.8651694107381,257.9429497383546,46.6459721631995,26.74621892920466,Low
ARUNACHAL PRADESH,ANJAW (LOHIT),42.2,80.8,176.4,358.5,306.4,447.0,660.1,427.8,313.6,167.1,34.1,29.8,51.65584463353338,65.02573902911845,182.2311388334895,291.9332820424027,335.405610571173,561.7358434082935,640.3976291752117,373.70730476314344,323.27935648860915,201.685055525642,35.251005735708816,29.15052604053118,Medium
ARUNACHAL PRADESH,LOWER DIBANG,83.7,153.9,303.5,383.6,268.0,374.2,272.0,160.5,266.7,167.2,64.0,56.0,107.11657927162864,128.028964374895,325.3965934055486,448.4548474629689,281.70579791007356,379.0102166790091,243.2487490028824,146.90180025498037,269.1945288623434,201.95481689571935,69.73642861885773,60.54407296759569,Medium
ARUNACHAL PRADESH,CHANGLANG,70.3,170.9,367.9,554.4,334.2,526.2,460.8,291.5,353.6,275.0,64.9,74.2,54.129227644299974,141.93908717755235,419.54417529137817,496.49544900970363,246.43876721865809,507.2102436748481,449.34302545199125,210.07834565082086,422.58242525115344,323.90651197092444,47.064831256668946,62.40589532958606,Low
